receipt_date,cumulative_total
2023-10-13,441804.11
2023-10-14,441854.11
2023-10-14,442104.11
2023-10-14,442114.11
2023-10-14,443359.11
2023-10-14,443859.11
2023-10-16,444109.11
2023-10-16,444359.11
2023-10-17,444859.11
2023-10-17,445109.11
2023-10-17,445609.11
2023-10-17,446109.11
2023-10-18,446359.11
2023-10-18,446859.11
2023-10-18,447059.11
2023-10-18,447309.11
2023-10-18,447459.11
2023-10-18,447509.11
2023-10-18,447529.11
2023-10-18,448029.11
2023-10-18,448054.11
2023-10-18,449054.11
2023-10-19,450054.11
2023-10-19,452454.11
2023-10-19,452954.11
2023-10-19,453054.11
2023-10-19,453304.11
2023-10-19,453804.11
2023-10-19,454362.11
2023-10-20,454612.11
2023-10-20,454862.11
2023-10-20,455862.11
2023-10-20,456362.11
2023-10-20,456612.11
2023-10-21,456862.11
2023-10-21,457362.11
2023-10-21,457612.11
2023-10-22,457762.11
2023-10-22,458262.11
2023-10-22,458387.11
2023-10-22,458397.11
2023-10-22,459397.11
2023-10-22,459522.11
2023-10-22,460022.11
2023-10-22,460272.11
2023-10-23,460297.11
2023-10-23,460797.11
2023-10-23,461797.11
2023-10-24,461947.11
2023-10-24,462447.11
2023-10-24,462697.11
2023-10-24,463206.11
2023-10-24,463356.11
2023-10-24,464356.11
2023-10-24,464606.11
2023-10-24,465920.11
2023-10-24,466170.11
2023-10-25,466670.11
2023-10-25,466920.11
2023-10-25,467170.11
2023-10-25,467670.11
2023-10-25,467820.11
2023-10-25,468070.11
2023-10-26,468320.11
2023-10-26,470720.11
2023-10-26,470730.11
2023-10-26,470930.11
2023-10-26,470830.11
2023-10-26,470930.11
2023-10-26,471180.11
2023-10-26,471280.11
2023-10-26,472280.11
2023-10-27,472780.11
2023-10-27,473280.11
2023-10-27,474280.11
2023-10-27,474530.11
2023-10-27,474780.11
2023-10-27,475030.11
2023-10-27,475280.11
2023-10-27,475430.11
2023-10-28,476830.11
2023-10-28,476930.11
2023-10-28,476980.11
2023-10-28,479380.11
2023-10-28,481780.11
2023-10-28,482477.11
2023-10-29,482852.11
2023-10-29,482977.11
2023-10-29,483227.11
2023-10-29,483477.11
2023-10-29,484477.11
2023-10-29,484727.11
2023-10-29,484752.11
2023-10-29,485002.11
2023-10-29,485252.11
2023-10-29,485302.11
2023-10-30,485552.11
2023-10-30,485627.11
2023-10-30,486627.11
2023-10-30,487627.11
2023-10-30,487877.11
2023-10-30,488377.11
2023-10-30,488577.11
2023-10-30,489077.11
2023-10-31,489327.11
2023-10-31,489827.11
2023-10-31,490327.11
